"session","created","modified","ended","expired","pregunta1","cuidado_tiempo","cuidado_1","cuidado_2","cuidado_3","cuidado_4","cuidado_5","cuidado_6","cuidado_7","cuidado_8","cuidado_9","cuidado_10","cuidado_11","cuidado_12","cuidado_multiple"
"hn_DJFwIXxmJ_GpftvuFBpmyjgmGItZkbmbfjGFqEp_W3DQRTQqiQv7uOPzfDKwb","2022-11-10 19:43:25","2022-11-10 19:43:41","2022-11-10 19:43:41","","","","1","1","1","1","1","1","1","1","1","1","1","1",""
"","2022-11-11 03:20:22","","","","","","","","","","","","","","","","","",""
"","2022-11-11 03:20:49","","","","","","","","","","","","","","","","","",""
"","2022-11-11 15:16:20","","","","","","","","","","","","","","","","","",""
"","2022-11-11 15:21:18","","","","","","","","","","","","","","","","","",""
"","2022-11-11 15:23:01","","","","","","","","","","","","","","","","","",""
"BGHBynjVrzVBuHEk4XbOBpivXqGrepRZqkM7wf4kqJcEwIj80KuaZKZhuwye2Zl1","2022-11-12 20:11:02","2022-11-12 20:43:42","2022-11-12 20:43:42","","3","","","","","","","","","","","","","",""
"lG2hJhaBVFaxTVN5Eoihm-7O8Cs5gnvC2iZR9-GyZZAeL3jedQ7xWwt9ZT2x_N36","2022-11-13 22:42:56","2022-11-13 22:43:02","2022-11-13 22:43:03","","3","","","","","","","","","","","","","",""
"helpfulFire-BelliedToadXXXCjGe4hawoSPh_N7eBQ_Mx_nc13Hl_BgLm-Q6aN","2022-11-14 01:41:39","","2022-11-14 01:42:09","","","","","","","","","","","","","","","",""
"2Vphslrs1mfFW-3jqFNOB5d0K4BIOej3toUuvuLTSAXG7FWTFQDjHrdw6Y97R5qh","2022-11-14 03:39:04","2022-11-14 03:39:16","2022-11-14 03:39:17","","1","","","","","","","","","","","","","",""
"darkPointerXXXE9wUMM9GClmaAQCZg1fWlZzjInpFtd7TRq2jzZjPbe6B5o48dR","2022-11-14 21:46:35","","2022-11-14 21:47:08","","","","","","","","","","","","","","","",""
"BODPLx8KJl3lbBkuNsDIM_fgHgEQU9YLVP1gTK5agD6y6l2JFekTIaM0RPBOozQx","2022-11-15 00:12:54","2022-11-15 00:13:07","2022-11-15 00:13:08","","1","","","","","","","","","","","","","",""
"-YHH0jIZS4lEEgxFgz1WZaKxWom7iFjJ141Iz0Y8N1a9aXq536z3R_nJskDfjX3A","2022-11-15 04:26:59","2022-11-15 04:27:14","2022-11-15 04:27:14","","2","1","1","7","3","7","2","7","2","5","1","4","2","7","2"
"whOqN9xP2KpSx_WfwyUb3ZhQXR5XDXxOk2grGOVg1YJjtJ3oOj-kPMMhFFYdC69Z","2022-11-15 05:45:26","2022-11-15 05:45:30","2022-11-15 05:45:30","","3","","","","","","","","","","","","","",""
"M0sUGtooJ7u_KajOlotwGME5zZ3lCDUIN7mFdpQ4wwZgVudxr2yFWd5X6gdB88x8","2022-11-15 16:31:08","2022-11-15 16:31:25","2022-11-15 16:31:26","","1","","","","","","","","","","","","","",""
"KwJ9zdhAq05pbosg16clhWZrd-mk-aW0kfZGYKn6WufVzV2a_PezPUkWnIxUBVNP","2022-11-15 16:32:39","2022-11-15 16:32:48","2022-11-15 16:32:48","","1","","","","","","","","","","","","","",""
"mTwjH2pD1-EPwXh-GQTrueBOdbr5BHz040CfyYSN04TJ2N4qf_4n9xF4RD0UDrCL","2022-11-15 16:56:46","2022-11-15 16:56:59","2022-11-15 16:56:59","","1","","","","","","","","","","","","","",""
"2eOwvJFS6kdBepqY1gzMssuN2MCSMArXiytTelfiozyX5tq4dodNk6zpbBRzlwge","2022-11-15 17:06:36","2022-11-15 17:06:46","2022-11-15 17:06:46","","1","","","","","","","","","","","","","",""
"wH7p_PKqUtA6e8ONrOxt5SM-nHUIL3HqHQHSGLIydHpyCKbIlxFyJi-S9vK5CMMm","2022-11-15 17:21:01","2022-11-15 17:21:12","2022-11-15 17:21:13","","1","","","","","","","","","","","","","",""
